bedrooms,bathrooms,living_sqft,parcel_sqft,floors,waterfront,view_quality,condition,KC_grade,sqft_basement,built_year,renovation_year,zipcode,latitude,longitude,sqft_living15,sqft_lot15,date,price,id.1
3.0,1.0,990.0,8528.0,1.0,0.0,0,3,6,0.0,1966,0,98023,47.3066,-122.371,1228.0,8840.0,2015-03-25,210490.0,47
4.0,2.5,2290.0,13416.0,2.0,0.0,0,4,9,0.0,1981,0,98007,47.6194,-122.151,2680.0,13685.0,2014-07-16,785000.0,48
3.0,1.75,1250.0,5963.0,1.0,0.0,0,4,7,0.0,1953,0,98115,47.6796,-122.301,970.0,5100.0,2015-04-28,450000.0,49
3.0,2.5,2753.0,65005.0,1.0,1.0,2,5,9,588.0,1953,0,98070,47.4041,-122.451,2680.0,72513.0,2015-03-11,1350000.0,50
3.0,1.0,1190.0,9199.0,1.0,0.0,0,3,7,0.0,1955,0,98148,47.4258,-122.322,1190.0,9364.0,2014-09-16,228000.0,51
5.0,2.5,3150.0,9134.0,1.0,0.0,0,4,8,1510.0,1966,0,98056,47.4934,-122.189,1990.0,9133.0,2015-02-17,345000.0,52
3.0,1.75,1410.0,4080.0,1.0,0.0,0,4,7,410.0,1950,0,98117,47.6808,-122.384,1410.0,4080.0,2014-12-31,600000.0,53
2.0,1.75,1980.0,8550.0,1.0,0.0,0,3,7,990.0,1981,0,98117,47.6989,-122.369,1480.0,6738.0,2015-02-05,585000.0,54
5.0,2.25,2730.0,6000.0,1.5,0.0,0,3,8,600.0,1927,0,98105,47.6571,-122.281,2730.0,6000.0,2015-03-03,920000.0,55
4.0,2.5,2830.0,5000.0,2.0,,0,3,9,0.0,1995,0,98105,47.6597,-122.29,1950.0,5000.0,2014-05-12,885000.0,56
4.0,2.5,2250.0,4495.0,2.0,0.0,0,3,7,0.0,2008,0,98042,47.3663,-122.114,2250.0,4500.0,2014-08-19,292500.0,57
3.0,2.5,2420.0,4750.0,2.0,0.0,0,3,8,0.0,2003,0,98042,47.3663,-122.122,2690.0,4750.0,2015-04-07,301000.0,58
5.0,3.25,3250.0,14342.0,2.0,0.0,4,4,8,0.0,1968,0,98008,47.588,-122.116,2960.0,11044.0,2014-08-27,951000.0,59
4.0,3.0,1850.0,9976.0,2.0,0.0,0,3,8,0.0,1991,0,98059,47.5059,-122.149,2270.0,8542.0,2015-02-23,430000.0,60
3.0,2.25,2150.0,21235.0,1.0,,3,4,8,560.0,1959,0,98166,47.4336,-122.339,2570.0,18900.0,2014-12-10,650000.0,61
3.0,1.75,1260.0,8400.0,1.0,0.0,0,3,7,0.0,1954,0,98148,47.4366,-122.335,1290.0,8750.0,2014-08-28,289000.0,62
3.0,1.75,2519.0,8690.0,2.0,,0,5,8,0.0,1973,0,98166,47.4428,-122.344,2500.0,9500.0,2014-10-21,505000.0,63
3.0,1.75,1540.0,1044.0,3.0,0.0,0,3,8,0.0,2014,0,98115,47.6765,-122.32,1580.0,3090.0,2014-12-07,549000.0,64
3.0,2.25,1660.0,6000.0,1.0,0.0,0,3,7,550.0,1979,0,98122,47.6113,-122.297,1440.0,4080.0,2014-06-03,425000.0,65
3.0,2.75,2770.0,3809.0,1.5,0.0,0,5,7,1000.0,1925,0,98144,47.5747,-122.304,1440.0,4000.0,2014-11-20,317625.0,66
4.0,2.5,2720.0,11049.0,2.0,,0,3,10,0.0,1989,0,98004,47.5815,-122.192,2750.0,11049.0,2014-09-09,975000.0,67
4.0,2.5,2240.0,4648.0,2.0,0.0,0,3,7,0.0,2005,0,98001,47.3378,-122.257,2221.0,4557.0,2014-10-09,287000.0,68
3.0,1.0,1000.0,12070.0,1.0,0.0,0,4,7,0.0,1968,0,98042,47.3621,-122.11,1010.0,12635.0,2014-08-25,204000.0,69
5.0,2.25,3200.0,20158.0,1.0,0.0,0,3,8,1600.0,1965,0,98004,47.6303,-122.215,3390.0,20158.0,2014-06-12,1330000.0,70
5.0,3.25,4770.0,50094.0,1.0,0.0,0,4,11,1700.0,1973,0,98005,47.6525,-122.16,3530.0,38917.0,2014-09-12,1040000.0,71
3.0,2.0,1260.0,5612.0,1.0,0.0,0,4,7,0.0,1972,0,98034,47.7362,-122.179,1640.0,4745.0,2015-01-05,325000.0,72
4.0,2.0,2750.0,7807.0,1.5,0.0,0,5,7,500.0,1916,0,98125,47.7168,-122.287,1510.0,7807.0,2014-06-10,571000.0,73
4.0,2.5,2380.0,5000.0,2.0,0.0,0,3,8,0.0,2005,0,98038,47.3608,-122.036,2420.0,5000.0,2014-07-10,360000.0,74
3.0,1.75,1790.0,50529.0,1.0,0.0,0,5,7,700.0,1965,0,98042,47.3511,-122.073,1940.0,50529.0,2015-03-16,349000.0,75
4.0,4.0,3430.0,35102.0,2.0,0.0,0,4,10,1040.0,1986,0,98075,47.5822,-121.987,3240.0,35020.0,2014-11-05,832500.0,76
4.0,1.75,1760.0,7300.0,1.0,0.0,0,3,7,880.0,1956,0,98008,47.6034,-122.125,1680.0,7500.0,2014-10-13,380000.0,77
3.0,1.0,1040.0,5060.0,1.0,0.0,0,3,7,0.0,1941,0,98116,47.5636,-122.394,890.0,5060.0,2015-04-20,480000.0,78
3.0,1.0,1410.0,5060.0,1.0,0.0,0,4,7,500.0,1956,0,98133,47.7073,-122.34,1130.0,5693.0,2014-06-09,410000.0,79
4.0,2.5,3450.0,39683.0,2.0,0.0,0,3,10,,2002,0,98010,47.342,-122.025,3350.0,39750.0,2015-03-23,720000.0,80
3.0,2.5,2350.0,5100.0,2.0,0.0,0,3,8,0.0,2003,0,98038,47.3512,-122.008,2350.0,5363.0,2014-12-02,390000.0,81
4.0,2.5,1900.0,5889.0,2.0,0.0,0,3,7,0.0,1992,0,98038,47.349,-122.031,1870.0,6405.0,2014-12-22,360000.0,82
2.0,1.0,2020.0,6720.0,1.0,0.0,0,3,7,1010.0,1948,0,98118,47.5474,-122.291,1720.0,6720.0,2014-10-28,355000.0,83
3.0,1.5,1680.0,8712.0,1.0,0.0,0,3,8,0.0,1964,0,98059,47.4811,-122.149,1850.0,8797.0,2015-01-28,356000.0,84
3.0,1.0,960.0,6634.0,1.0,0.0,0,3,6,0.0,1952,0,98125,47.7264,-122.31,1570.0,7203.0,2014-06-02,315000.0,85
3.0,1.5,2140.0,3600.0,2.0,0.0,0,3,9,240.0,1925,0,98119,47.6337,-122.365,2020.0,4800.0,2014-11-14,940000.0,86
5.0,2.25,2660.0,8400.0,1.5,0.0,0,5,7,0.0,1961,0,98092,47.2909,-122.189,1590.0,8165.0,2014-11-03,305000.0,87
3.0,3.25,2770.0,6278.0,2.0,,0,3,9,790.0,2006,0,98056,47.5228,-122.199,1900.0,7349.0,2014-06-18,461000.0,88
2.0,2.25,1610.0,2040.0,2.0,0.0,0,4,7,0.0,1979,0,98056,47.518,-122.194,1950.0,2025.0,2014-05-19,215000.0,89
2.0,1.75,1030.0,1066.0,2.0,0.0,0,3,7,265.0,2006,0,98136,47.5394,-122.387,1030.0,1106.0,2014-09-04,335000.0,90
4.0,2.5,1980.0,7403.0,2.0,0.0,0,3,7,0.0,1988,0,98023,47.2897,-122.372,1980.0,7510.0,2014-05-22,243500.0,91
5.0,2.75,3520.0,6353.0,2.0,0.0,0,4,10,0.0,2001,0,98199,47.6506,-122.391,2520.0,6250.0,2015-03-11,1100000.0,92
3.0,1.0,1200.0,10500.0,1.0,0.0,0,3,7,0.0,1962,0,98023,47.322,-122.351,1350.0,10500.0,2015-02-26,153000.0,93
3.0,1.5,1580.0,5000.0,1.0,0.0,0,3,8,290.0,1939,0,98117,47.687,-122.386,1570.0,4500.0,2014-07-25,430000.0,94
3.0,1.5,1580.0,5000.0,1.0,0.0,0,3,8,290.0,1939,0,98117,47.687,-122.386,1570.0,4500.0,2014-12-23,700000.0,95
4.0,2.5,3300.0,10250.0,1.0,0.0,0,3,7,910.0,1946,1991,98040,47.5873,-122.249,1950.0,6045.0,2014-09-08,905000.0,96
3.0,1.75,1960.0,15681.0,1.0,0.0,0,3,7,0.0,1967,0,98032,47.3576,-122.277,1750.0,15616.0,2015-03-30,247500.0,97
4.0,1.5,1160.0,6400.0,1.0,0.0,0,4,7,0.0,1975,0,98023,47.3036,-122.378,1160.0,6400.0,2014-09-12,199000.0,98
3.0,1.75,1810.0,41800.0,1.0,0.0,0,5,7,600.0,1980,0,98038,47.4109,-121.958,1650.0,135036.0,2014-07-11,314000.0,99
3.0,2.5,2320.0,36847.0,2.0,0.0,2,3,9,0.0,1992,0,98045,47.4838,-121.714,2550.0,35065.0,2014-05-16,437500.0,100
3.0,2.5,2070.0,13241.0,1.5,0.0,0,5,9,800.0,1910,0,98102,47.6415,-122.315,2200.0,4500.0,2014-06-11,850830.0,101
3.0,2.0,1980.0,3478.0,1.5,0.0,0,4,7,540.0,1929,0,98117,47.6775,-122.372,1610.0,3478.0,2014-10-27,555000.0,102
3.0,2.25,2190.0,107593.0,2.0,0.0,0,4,8,0.0,1983,0,98077,47.7731,-122.08,2570.0,47777.0,2014-12-12,699950.0,103
3.0,2.5,2920.0,8113.0,2.0,0.0,0,3,8,0.0,1950,2010,98004,47.5814,-122.196,2370.0,8113.0,2014-10-07,1090000.0,104
3.0,1.0,1210.0,33919.0,1.0,0.0,0,3,7,0.0,1954,0,98058,47.4375,-122.184,1640.0,14910.0,2014-09-24,290000.0,105
3.0,2.5,2340.0,10005.0,1.0,,0,4,8,880.0,1978,0,98058,47.4431,-122.133,2250.0,8162.0,2015-04-02,375000.0,106
3.0,1.0,1670.0,4005.0,1.5,0.0,0,4,7,500.0,1939,0,98117,47.6878,-122.38,1240.0,4005.0,2014-05-23,460000.0,107
2.0,1.75,1240.0,2493.0,1.0,0.0,0,4,8,0.0,1985,0,98198,47.3813,-122.322,1270.0,4966.0,2014-07-23,188500.0,108
4.0,2.5,3140.0,28037.0,2.0,0.0,0,4,10,0.0,1991,0,98077,47.7304,-122.082,2990.0,35001.0,2015-03-05,680000.0,109
5.0,1.75,2030.0,12342.0,2.0,0.0,0,4,7,0.0,1942,0,98052,47.6417,-122.109,2500.0,9433.0,2014-08-27,470000.0,110
4.0,2.5,2310.0,9624.0,2.0,0.0,0,3,8,0.0,1984,0,98027,47.5386,-122.053,1940.0,9636.0,2014-07-25,597750.0,111
3.0,1.75,1260.0,3328.0,1.0,0.0,0,5,6,560.0,1905,0,98103,47.6823,-122.349,1380.0,3536.0,2015-03-04,570000.0,112
3.0,1.75,1540.0,12600.0,1.0,0.0,0,4,7,,1980,0,98038,47.3624,-122.031,1540.0,11656.0,2014-09-16,272500.0,113
3.0,1.75,2080.0,5969.0,1.0,0.0,2,3,7,1000.0,1971,0,98108,47.5474,-122.295,2090.0,5500.0,2014-11-24,329950.0,114
4.0,2.5,3230.0,16171.0,2.0,0.0,,3,9,710.0,2001,0,98001,47.3183,-122.253,2640.0,8517.0,2014-10-28,480000.0,115
3.0,3.5,4380.0,6350.0,2.0,0.0,0,3,8,,1900,0,98117,47.6981,-122.368,1830.0,6350.0,2014-11-21,740500.0,116
3.0,3.5,1590.0,1102.0,3.0,0.0,0,3,8,0.0,2010,0,98103,47.6824,-122.347,1620.0,3166.0,2014-06-26,518500.0,117
2.0,1.0,880.0,6780.0,1.0,0.0,0,4,6,0.0,1945,0,98178,47.5009,-122.248,1190.0,6780.0,2014-06-23,205425.0,118
4.0,2.0,1570.0,9600.0,1.0,,0,3,6,0.0,1950,0,98168,47.4965,-122.303,1880.0,9000.0,2015-01-08,171800.0,119
4.0,1.0,1610.0,2982.0,1.5,0.0,0,4,7,0.0,1925,0,98144,47.587,-122.294,1610.0,4040.0,2015-05-11,535000.0,120
3.0,2.5,2400.0,6474.0,1.0,0.0,2,3,8,840.0,1964,0,98177,47.7728,-122.386,2340.0,10856.0,2015-01-02,660000.0,121
3.0,2.0,1450.0,9132.0,1.0,0.0,0,3,7,0.0,1987,0,98034,47.7288,-122.226,1580.0,9104.0,2014-11-19,391500.0,122
2.0,1.0,770.0,6000.0,1.0,0.0,0,3,6,0.0,1953,0,98117,47.6999,-122.364,1710.0,6000.0,2015-04-06,395000.0,123
4.0,1.75,2100.0,4400.0,1.5,,0,5,7,380.0,1924,0,98118,47.5299,-122.266,1850.0,4400.0,2014-11-04,445000.0,124
3.0,2.25,2910.0,10204.0,2.0,0.0,0,3,9,0.0,1990,0,98052,47.6897,-122.098,2700.0,13992.0,2014-06-18,770000.0,125
4.0,2.75,2750.0,17789.0,1.5,0.0,0,3,8,770.0,1914,1992,98004,47.6141,-122.212,3060.0,11275.0,2015-03-02,1450000.0,126
3.0,2.25,2100.0,8201.0,1.0,,2,3,8,480.0,1967,0,98178,47.5091,-122.244,2660.0,8712.0,2014-07-17,445000.0,127
4.0,2.25,2160.0,8811.0,1.0,0.0,0,3,8,800.0,1978,0,98023,47.3129,-122.39,2090.0,8400.0,2014-07-17,260000.0,128
5.0,3.5,2320.0,4960.0,2.0,0.0,0,5,7,600.0,1926,0,98103,47.6763,-122.352,1700.0,4960.0,2014-06-13,822500.0,129
4.0,2.5,2070.0,4310.0,2.0,0.0,,3,7,0.0,2004,0,98065,47.5319,-121.85,1970.0,3748.0,2015-04-06,430000.0,130
3.0,1.75,1060.0,7875.0,1.0,0.0,0,4,7,0.0,1986,0,98092,47.2761,-122.152,1420.0,7680.0,2015-01-05,212000.0,131
4.0,2.25,2010.0,9603.0,1.0,0.0,0,3,8,570.0,1986,0,98027,47.5343,-122.054,2060.0,9793.0,2015-04-28,660500.0,132
3.0,3.5,3950.0,111078.0,1.5,0.0,0,3,9,1490.0,1989,0,98052,47.697,-122.072,2480.0,88500.0,2014-06-12,784000.0,133
3.0,2.5,2010.0,2287.0,2.0,0.0,0,3,8,620.0,2014,0,98029,47.5517,-121.998,1690.0,1662.0,2014-05-12,453246.0,134
4.0,3.5,2140.0,2278.0,3.0,0.0,0,3,9,0.0,2005,0,98107,47.6734,-122.38,1540.0,2285.0,2015-01-26,675000.0,135
3.0,1.75,1320.0,17390.0,1.0,0.0,0,4,7,0.0,1956,0,98003,47.3257,-122.296,1550.0,19265.0,2014-08-13,199000.0,136
4.0,1.75,2020.0,7840.0,1.0,0.0,0,3,7,1010.0,1968,0,98003,47.3309,-122.299,1750.0,8140.0,2014-08-05,220000.0,137
4.0,2.25,2590.0,10002.0,1.0,0.0,0,4,8,1250.0,1968,0,98028,47.7689,-122.266,1550.0,10436.0,2014-05-29,452000.0,138
2.0,1.0,1190.0,4440.0,1.0,0.0,0,3,6,0.0,1981,0,98125,47.7135,-122.287,1060.0,5715.0,2014-07-07,382500.0,139
3.0,2.25,1170.0,1249.0,3.0,0.0,0,3,8,0.0,2014,0,98107,47.6722,-122.381,1350.0,1310.0,2014-05-07,519950.0,140
2.0,1.0,1110.0,3200.0,1.0,0.0,0,3,7,0.0,1925,0,98119,47.6338,-122.358,1170.0,3600.0,2014-06-27,665000.0,141
5.0,2.5,2820.0,9375.0,1.0,0.0,0,4,8,1270.0,1968,0,98006,47.5707,-122.128,2820.0,9375.0,2014-07-08,527700.0,142
3.0,1.0,1610.0,8579.0,1.0,0.0,0,4,7,600.0,1962,0,98058,47.4563,-122.171,1610.0,8579.0,2015-05-08,205000.0,143
3.0,1.0,1060.0,8097.0,1.0,0.0,0,4,7,120.0,1923,0,98133,47.7144,-122.351,1560.0,7940.0,2015-04-15,420000.0,144
4.0,2.25,2030.0,8517.0,1.0,0.0,0,4,8,650.0,1961,0,98006,47.5495,-122.174,2230.0,8824.0,2015-02-27,500000.0,145
4.0,2.5,3670.0,315374.0,2.0,0.0,0,4,9,0.0,1994,0,98077,47.7421,-122.026,2840.0,87991.0,2014-12-03,921500.0,146
4.0,1.0,2550.0,4000.0,2.0,0.0,0,3,8,180.0,1905,0,98109,47.6354,-122.353,2200.0,4000.0,2014-06-25,890000.0,147
2.0,2.5,2420.0,60984.0,2.0,0.0,0,3,7,0.0,2007,0,98027,47.5262,-121.943,1940.0,193842.0,2014-08-06,430000.0,148
5.0,2.0,2260.0,12500.0,1.0,0.0,0,4,8,1130.0,1960,0,98032,47.3887,-122.286,1360.0,18000.0,2014-10-30,258000.0,149
3.0,1.0,1430.0,3455.0,1.0,0.0,0,3,7,450.0,1947,0,98103,47.6873,-122.336,1450.0,4599.0,2014-11-04,511000.0,150
3.0,2.0,1360.0,3090.0,2.0,0.0,0,3,8,0.0,1990,0,98103,47.6838,-122.353,1500.0,3090.0,2014-08-20,532170.0,151
3.0,1.0,1110.0,5000.0,1.5,0.0,0,3,7,0.0,1947,0,98107,47.655,-122.359,1420.0,5000.0,2015-04-09,560000.0,152
3.0,1.0,1250.0,8200.0,1.0,,0,4,7,0.0,1954,0,98003,47.3255,-122.304,1680.0,8633.0,2015-03-31,282950.0,153
4.0,3.25,5180.0,19850.0,2.0,0.0,3,3,12,1640.0,2006,0,98006,47.562,-122.162,3160.0,9750.0,2015-04-01,2250000.0,154
1.0,1.0,700.0,5100.0,1.0,0.0,0,3,7,0.0,1942,0,98115,47.679,-122.3,1010.0,5100.0,2014-05-16,350000.0,155
3.0,1.0,1180.0,7669.0,1.0,0.0,0,4,7,0.0,1967,0,98058,47.4479,-122.176,1190.0,7669.0,2014-07-28,215000.0,156
5.0,3.5,3960.0,25245.0,2.0,0.0,0,3,9,1460.0,1996,0,98056,47.525,-122.172,2640.0,13675.0,2014-11-20,650000.0,157
4.0,2.75,2640.0,7500.0,1.0,0.0,0,3,8,1020.0,1967,0,98023,47.3135,-122.369,1980.0,7875.0,2014-08-07,320000.0,158
3.0,2.0,1270.0,7198.0,1.5,0.0,0,3,7,0.0,1916,2013,98022,47.2086,-121.996,1160.0,7198.0,2014-11-13,247000.0,159
4.0,1.75,1760.0,11180.0,1.0,0.0,0,4,8,0.0,1968,0,98059,47.4715,-122.118,1730.0,11180.0,2014-10-03,320000.0,160
5.0,2.25,2060.0,8632.0,1.0,0.0,0,3,7,1030.0,1962,0,98146,47.4877,-122.335,1010.0,11680.0,2014-05-07,255000.0,161
3.0,1.75,1780.0,9660.0,1.0,0.0,0,3,7,0.0,1962,0,98034,47.7171,-122.193,1200.0,9660.0,2015-03-09,438000.0,162
3.0,2.5,3400.0,16603.0,2.0,0.0,0,3,10,0.0,2000,0,98075,47.6012,-122.023,3400.0,12601.0,2015-03-04,900000.0,163
3.0,2.75,1910.0,7280.0,1.0,0.0,0,3,7,750.0,1979,0,98034,47.7319,-122.224,1710.0,8152.0,2014-06-20,441000.0,164
3.0,2.0,2020.0,38332.0,1.0,0.0,0,4,7,1010.0,1975,0,98027,47.4582,-122.023,2110.0,36590.0,2014-08-12,420000.0,165
3.0,1.75,1580.0,7000.0,1.0,0.0,0,3,7,400.0,1976,0,98034,47.7209,-122.168,1640.0,7500.0,2014-12-08,370000.0,166
2.0,1.75,1340.0,7250.0,1.0,0.0,0,5,5,640.0,1949,0,98198,47.408,-122.327,1830.0,9750.0,2015-02-19,269950.0,167
4.0,2.5,2680.0,4499.0,2.0,0.0,0,3,9,0.0,1999,0,98006,47.565,-122.125,2920.0,4500.0,2015-03-24,807100.0,168
3.0,2.5,2680.0,9750.0,1.0,0.0,0,4,8,1070.0,1979,0,98034,47.7028,-122.231,2480.0,8750.0,2014-06-05,653000.0,169
3.0,2.0,1370.0,8336.0,1.0,,0,5,7,0.0,1964,0,98133,47.7458,-122.331,1770.0,7288.0,2014-06-11,371500.0,170
3.0,1.75,1560.0,21000.0,1.0,0.0,0,3,7,0.0,1954,0,98166,47.4776,-122.337,1070.0,7920.0,2015-03-16,284000.0,171
3.0,1.75,2160.0,7140.0,1.0,0.0,0,4,7,490.0,1978,0,98023,47.3026,-122.374,1930.0,7350.0,2015-01-02,272000.0,172
3.0,1.5,1340.0,7912.0,1.5,,0,3,7,0.0,1955,0,98133,47.7658,-122.339,1480.0,7940.0,2014-05-02,313000.0,173
4.0,2.5,3880.0,35003.0,2.0,0.0,0,3,10,1310.0,1984,0,98033,47.6477,-122.182,3740.0,35230.0,2015-01-16,917500.0,174
4.0,2.25,2590.0,8190.0,2.0,0.0,0,4,8,0.0,1980,0,98006,47.5619,-122.125,2260.0,8335.0,2014-09-29,673000.0,175
3.0,2.5,1120.0,1100.0,2.0,0.0,0,3,8,300.0,2008,0,98122,47.6106,-122.31,1590.0,1795.0,2015-02-10,425000.0,176
5.0,2.75,1970.0,5400.0,1.0,0.0,0,3,7,650.0,1986,0,98144,47.5868,-122.308,1280.0,2150.0,2014-07-09,399950.0,177
